bangla	english
একাডেমি	academy
অ্যাকাউন্ট	account
অ্যাসিড	acid
অ্যাডাপ্টার	adapter
অ্যাড্রেস	address
অ্যাডমিন	admin
অ্যাডমিশন	admission
এডমিশন	admission
ঈশপ	aesop
আফ্রিকা	africa
আগ্রা	agra
অ্যালার্ম	alarm
আলাস্কা	alaska
অ্যালবার্টা	alberta
অ্যালবাম	album
অ্যালকোহল	alcohol
আলেকজান্ডার	alexander
আলজেরিয়া	algeria
অ্যালগরিদম	algorithm
অ্যালার্জি	allergy
অ্যাম্বার	amber
আমেরিকা	america
আন্দামান	andaman
অ্যান্ড্রু	andrew
অ্যান্ড্রয়েড	android
অ্যাঙ্গোলা	angola
অ্যানিমেশন	animation
অ্যানিমে	anime
অ্যান্টার্কটিকা	antarctica
অ্যান্টেনা	antenna
অ্যান্টনি	anthony
অ্যানথ্রাক্স	anthrax
অ্যান্টিবায়োটিক	antibiotic
অ্যাপোলো	apollo
অ্যাপ	app
আপেল	apple
অ্যাপ্লিকেশন	application
এপ্রিল	april
আরাকান	arakan
আর্কাইভ	archive
আর্কটিক	arctic
আর্জেন্টিনা	argentina
অ্যারিজোনা	arizona
আর্টিকেল	article
আর্টিস্ট	artist
এশিয়া	asia
আসাম	assam
অ্যাসাইনমেন্ট	assignment
আটলান্টা	atlanta
আটলান্টিক	atlantic
অ্যাটম	atom
অডিও	audio
অডিশন	audition
অগস্ট	august
অগাষ্ট	august
অগাস্ট	august
আগষ্ট	august
আগস্ট	august
অস্ট্রেলিয়া	australia
অস্ট্রিয়া	austria
অথোরিটি	authority
অথরিটি	authority
অ্যাভোকাডো	avocado
অ্যাভাটার	avatar
ব্যাবিলন	babylon
ব্যাগ	bag
বেইল	bail
বলকান	balkan
বল	ball
বেলুন	balloon
ব্যাঙ্কক	bangkok
ব্যাংক	bank
ব্যাঙ্ক	bank
ব্যানার	banner
বাস্কেটবল	basketball
ব্যাটারি	battery
বিয়ার	beer
বেলারুশ	belarus
বেলফাস্ট	belfast
বেলগ্রেড	belgrade
বেল	bell
বেনারস	benares
বার্লিন	berlin
বাইবেল	bible
বিল	bill
বাইনারি	binary
বায়োস	bios
বিস্কুট	biscuit
ব্লগ	blog
ব্লগার	blogger
ব্লুটুথ	bluetooth
বলিউড	bollywood
বোনাস	bonus
বুকমার্ক	bookmark
বুস্টার	booster
বসনিয়া	bosnia
বস	boss
বুর্জোয়া	bourgeois
বাক্স	box
ব্রেইন	brain
ব্রেক	brake
ব্রাস	brass
ব্রাজিল	brazil
ব্রাজিলিয়ান	brazilian
ব্রেক	break
