id	token	frequency
0	<pad>	0
1	<bos>	0
2	<unk>	0
3	ও	1914366
4	এবং	1421302
5	করে	1375537
6	হয়	1194185
7	থেকে	1099534
8	করা	1016171
9	এ	936237
10	এই	920913
11	তিনি	889962
12	না	888933
13	একটি	872244
14	জন্য	736936
15	করেন	701816
16	হয়েছে	641927
17	বলেন	608529
18	এর	587009
19	নিয়ে	495746
20	হবে	486887
21	তার	485033
22	মধ্যে	461744
23	এক	447372
24	ছিল	442900
25	করতে	440908
26	সালে	437126
27	সঙ্গে	424696
28	তাঁর	418384
29	যে	402184
30	প্রথম	401690
31	হয়ে	394232
32	যায়	351794
33	সময়	344586
34	বা	341607
35	পর	340989
36	আর	312477
37	কিন্তু	312049
38	করার	311763
39	বলে	309210
40	কোনো	308995
41	হিসেবে	301611
42	দিয়ে	291836
43	তবে	290087
44	ছিলেন	285822
45	সালের	279368
46	করেছেন	279230
47	কথা	278933
48	টি	277969
49	দুই	264040
50	শুরু	257586
51	রয়েছে	252021
52	দেওয়া	251421
53	ওই	249100
54	তাদের	248573
55	গত	246370
56	যা	242547
57	গতকাল	241205
58	তা	240148
59	হচ্ছে	237801
60	বছর	235967
61	এটি	233861
62	কাজ	232139
63	পর্যন্ত	231356
64	একজন	224914
65	বিভিন্ন	223452
66	কিছু	220157
67	পারে	219919
68	আছে	219918
69	হয়েছিল	213044
70	করেছে	211522
71	আরও	208362
72	বাংলাদেশ	208203
73	পুলিশ	205768
74	বেশি	205703
75	আগে	199589
76	সাথে	197571
77	অনেক	197510
78	গেছে	197069
79	হাজার	193233
80	দিকে	192502
81	টাকা	187195
82	প্রধান	186071
83	কাছে	185485
84	নতুন	184931
85	সেই	182467
86	দেন	182033
87	দেখা	179268
88	তাঁদের	178722
89	পরে	177991
90	জাতীয়	177327
91	এখন	176433
92	তারা	173863
93	প্রায়	172357
94	নয়	170620
95	দলের	170226
96	দিন	168957
97	সে	168735
98	শেষ	168314
99	হতে	168095
100	আজ	166294
101	নেই	165115
102	সব	164530
103	হন	164053
104	জন	163428
105	বড়	162571
106	আমরা	162456
107	মতো	162011
108	কারণে	159437
109	জানান	158901
110	আমি	157068
111	তাঁরা	157008
112	জেলা	151887
113	বাংলাদেশের	151426
114	থাকে	149614
115	মাধ্যমে	148904
116	বিরুদ্ধে	148345
117	করেছিলেন	147611
118	মনে	146829
119	তৈরি	146682
120	আমাদের	146226
121	নাম	145390
122	ঢাকা	140884
123	তিন	140160
124	আমার	140132
125	দেশের	139941
126	ইসলাম	138912
127	হলো	136970
128	অংশ	136651
129	বলা	135012
130	পাওয়া	134418
131	দল	133524
132	উপজেলার	133402
133	সাধারণ	132000
134	আওয়ামী	130380
135	সরকার	130146
136	হলে	129792
137	ধরে	129315
138	ব্যবহার	128951
139	তাঁকে	128872
140	কর্মকর্তা	128770
141	রহমান	128399
142	অভিযোগ	127954
143	এমন	127558
144	হোসেন	125780
145	উপজেলা	123972
146	দুটি	123581
147	ওপর	122905
148	হওয়ার	122514
149	দিতে	122384
150	ছাড়া	122205
151	ভারতের	121819
152	বিষয়ে	120719
153	সদস্য	117846
154	এলাকায়	115548
155	নামে	115308
156	এতে	115139
157	এসব	113183
158	ভালো	112804
159	কারণ	112757
160	তাই	111416
161	একই	110445
162	ধরনের	109866
163	স্থানীয়	109720
164	দ্বারা	109177
165	দাবি	108961
166	প্রতি	108780
167	মো	108493
168	সভাপতি	108375
169	হিসাবে	108111
170	সরকারি	107348
171	বছরের	106590
172	দেয়	106444
173	উত্তর	105469
174	একটা	105176
175	দক্ষিণ	105134
176	নেতা	105103
177	যান	104991
178	তখন	103981
179	লাখ	103546
180	তাকে	102889
181	সেখানে	102571
182	সম্পাদক	102476
183	জানা	101461
184	নির্বাচন	100749
185	কি	99920
186	নেওয়া	99679
187	দ্বিতীয়	99676
188	লীগের	98465
189	বিশেষ	98072
190	হল	97574
191	পড়ে	96920
192	আল	96213
193	আন্তর্জাতিক	96202
194	বেশ	95725
195	ফলে	95455
196	তো	95127
197	দেওয়ার	95061
198	হয়নি	94592
199	ক্ষেত্রে	93914
200	কোটি	93391
201	আলোকে	92828
202	অন্য	92644
203	সরকারের	92498
204	যখন	92167
205	মানুষ	92023
206	কী	92014
207	সবচেয়ে	91582
208	তথ্য	91570
209	গিয়ে	91509
210	প্রকাশ	90834
211	খান	90623
212	যার	89577
213	ঘোষণা	89446
214	যাবে	89164
215	আবার	89141
216	এরপর	87830
217	করছে	87419
218	কেউ	87345
219	ভারতীয়	86941
220	চেয়ারম্যান	86536
221	দ্য	86214
222	সাবেক	86033
223	করছেন	86015
224	অন্যান্য	85922
225	মামলা	85909
226	বিএনপির	85750
227	ইংরেজি	85582
228	বন্ধ	85475
229	কলেজ	84960
230	চলে	84683
231	দেশে	84210
232	যদি	84189
233	মানুষের	83656
234	খুব	83272
235	চার	82836
236	দিয়েছেন	82723
237	গ্রামের	82682
238	ব্যবস্থা	82441
239	এটা	82382
240	বিশ্ববিদ্যালয়ের	82325
241	দায়িত্ব	81618
242	আলী	81588
243	নিহত	81456
244	যেতে	80361
245	বিভাগের	80222
246	গ্রেপ্তার	79843
247	এম	79806
248	কম	79763
249	চেষ্টা	79559
250	ঘটনা	79184
251	নিজের	78820
252	মার্কিন	78532
253	রাজনৈতিক	77543
254	ইউনিয়ন	77517
255	নিতে	77384
256	বলেছেন	76941
257	পরিচালক	76099
258	সুযোগ	76078
259	অনুষ্ঠিত	76075
260	সামনে	75909
261	তুলে	75907
262	যেমন	75701
263	থাকা	75528
264	অবস্থিত	75438
265	নারী	75315
266	শেখ	75287
267	যেখানে	75212
268	পাঁচ	73941
269	অনুযায়ী	73667
270	থানার	73526
271	চলচ্চিত্র	73469
272	করেছিল	73431
273	শুধু	73114
274	কে	73104
275	চৌধুরী	72848
276	পুলিশের	72319
277	সদর	72311
278	চট্টগ্রাম	72194
279	এলাকার	71814
280	পালন	71761
281	আবদুল	71680
282	ছোট	71512
283	শতাংশ	71429
284	নামের	71359
285	পরিচিত	71253
286	পুরস্কার	71096
287	হক	70411
288	ঘটনায়	70282
289	প্রাথমিক	70164
290	অব	70138
291	এখানে	70113
292	হওয়া	70091
293	সময়ে	69157
294	পাশাপাশি	68914
295	হাতে	68855
296	জেলার	68684
297	বিষয়টি	68603
298	প্রধানমন্ত্রী	68564
299	শিক্ষা	68497
300	নির্বাচনে	68335
301	চেয়ে	68307
302	রাতে	67313
303	উদ্ধার	67306
304	ভারত	66986
305	এবার	66799
306	মা	66737
307	ইউনিয়নের	66573
308	নিশ্চিত	66326
309	ই	65874
310	উপর	65772
311	সম্পর্কে	65501
312	অভিনয়	65372
313	হয়েছেন	65274
314	শহরের	65259
315	প্রার্থী	65139
316	করবে	65107
317	সিদ্ধান্ত	64780
318	শেষে	64247
319	শিক্ষক	64212
320	যাওয়ার	64202
321	বিশ্ববিদ্যালয়	64179
322	উল্লেখ	64149
323	হত্যা	64123
324	জানতে	64117
325	কমিটির	64074
326	মোহাম্মদ	64067
327	কোন	63861
328	আইন	63805
329	যাচ্ছে	63760
330	এখনো	63752
331	বর্তমানে	63704
332	মাসে	63584
333	অনুষ্ঠানে	63441
334	দিয়েছে	63441
335	পারেন	63045
336	বিপক্ষে	62954
337	বাড়ি	62750
338	ছবি	62468
339	গ্রহণ	62439
340	আহত	62431
341	মূল	62367
342	ঘটে	61240
343	হলেও	61168
344	অর্থ	61130
345	সাল	61037
346	হাসপাতালে	60941
347	গুরুত্বপূর্ণ	60863
348	বৃহস্পতিবার	60726
349	ক্রিকেট	60497
350	রাখা	60479
351	সাড়ে	60143
352	কয়েক	60056
353	পানি	60044
354	সোমবার	59730
355	মাত্র	59619
356	পূর্ব	59554
357	উপস্থিত	59125
358	ছেলে	58939
359	পক্ষে	58923
360	তিনটি	58830
361	বাবা	58715
362	রোববার	58631
363	বর্তমান	58555
364	মঙ্গলবার	58530
365	রাত	58366
366	লাভ	58308
367	বুধবার	58242
368	ব্যাপারে	58038
369	কয়েকটি	57853
370	রান	57836
371	থেকেই	57495
372	পরিবারের	57485
373	জানায়	57277
374	মার্চ	57204
375	জন্ম	57203
376	কেন্দ্রীয়	57139
377	আলোচনা	57060
378	বাংলা	56996
379	সকাল	56726
380	আহমেদ	56725
381	নম্বর	56660
382	আয়োজন	56621
383	নানা	56512
384	সংবাদ	56308
385	আদালত	56118
386	আলম	55784
387	এসে	55494
388	শনিবার	55490
389	হলেন	54698
390	অবস্থান	54671
391	সকালে	54614
392	মারা	54612
393	বাইরে	54421
394	নেন	54272
395	নেওয়ার	54174
396	অ্যান্ড	54133
397	মাস	54126
398	যেন	53956
399	আসে	53905
400	মে	53780
401	দিনের	53642
402	মোট	53630
403	ভোট	53609
404	গড়ে	53384
405	সংখ্যা	53371
406	খবর	53366
407	ফিরে	53332
408	যোগ	53232
409	বক্তব্য	53130
410	বের	53043
411	দেশ	52788
412	প্রকাশিত	52641
413	সড়ক	52343
414	সম্ভব	52295
415	চলছে	52290
416	কেন	52284
417	অবস্থায়	52222
418	উন্নয়ন	52138
419	যিনি	52124
420	শুক্রবার	52094
421	তদন্ত	51883
422	উদ্দিন	51590
423	কেন্দ্র	51520
424	নির্বাহী	51457
425	অফ	51404
426	কাছ	51337
427	অন্যতম	51002
428	ম্যাচে	50984
429	ঘটনার	50959
430	মামলার	50793
431	ম্যাচ	50719
432	করলে	50713
433	সিটি	50593
434	পরিষদের	50290
435	আটক	50259
436	নির্বাচিত	50203
437	পরীক্ষা	50140
438	গান	50109
439	পেয়ে	49947
440	থাকবে	49901
441	বেলা	49808
442	সামাজিক	49616
443	ঠিক	49503
444	সর্বোচ্চ	49438
445	কমিটি	49427
446	আছেন	49331
447	সৃষ্টি	49199
448	করবেন	49156
449	জুলাই	49024
450	বলতে	48805
451	পরিচালনা	48705
452	থাকতে	48671
453	মেডিকেল	48567
454	আগামী	48379
455	সমস্যা	48122
456	সেরা	48061
457	ঢাকার	48039
458	ডিসেম্বর	47859
459	অর্জন	47833
460	তৃতীয়	47754
461	জানুয়ারি	47735
462	যদিও	47606
463	স্ত্রী	47443
464	যাওয়া	47353
465	সেটা	47311
466	পান	47304
467	মধ্য	47302
468	এপ্রিল	47185
469	প্রতিষ্ঠান	47149
470	ভাই	46986
471	সহকারী	46938
472	সহ	46866
473	বাংলাদেশে	46814
474	হাসান	46582
475	শিশু	46514
476	দেখতে	46503
477	মাঠে	46479
478	অধ্যাপক	46466
479	পাশে	46347
480	রায়	46152
481	ফুটবল	46036
482	সূত্র	46012
483	জুন	45994
484	তম	45882
485	আগস্ট	45865
486	বাড়িতে	45781
487	দেখে	45758
488	ছয়	45719
489	যুক্ত	45415
490	বিদ্যালয়	45344
491	আদালতে	45263
492	বিক্রি	45115
493	করি	45090
494	ব্যাংক	45082
495	ফেব্রুয়ারি	45011
496	তাহলে	44997
497	স্কুল	44948
498	নির্মাণ	44704
499	বিএনপি	44700
500	জানিয়েছেন	44699
501	থানায়	44684
502	যারা	44647
503	পায়	44643
504	অতিরিক্ত	44622
505	পরিবর্তন	44557
506	ভর্তি	44431
507	চাইলে	44336
508	থাকার	44271
509	বিষয়	44150
510	নিজেদের	44078
511	ব্যক্তি	44043
512	প্রশ্ন	44040
513	লীগ	43892
514	অবশ্য	43868
515	রেখে	43847
516	সবাই	43832
517	কাজে	43785
518	গ্রামে	43752
519	ব্রিটিশ	43691
520	এলাকা	43626
521	গেল	43529
522	সারা	43516
523	লাশ	43483
524	এগিয়ে	43338
525	ধারণা	43269
526	ভারপ্রাপ্ত	43173
527	উচ্চ	42949
528	দ্রুত	42922
529	নভেম্বর	42905
530	চালু	42890
531	প্রদান	42783
532	এসেছে	42680
533	উইকেট	42632
534	প্রয়োজন	42447
535	বিভাগ	42291
536	হামলা	42027
537	পাকিস্তান	41975
538	জড়িত	41901
539	স্বাস্থ্য	41735
540	সংস্থা	41733
541	গঠন	41438
542	জানানো	41413
543	মামলায়	41401
544	ব্যবহৃত	41346
545	সাধারণত	41305
546	পাঠানো	41290
547	অভিযান	41229
548	আগের	41229
549	প্রতিটি	41139
550	ভূমিকা	41059
551	আবু	41055
552	যুক্তরাষ্ট্রের	41012
553	গেলে	41007
554	অক্টোবর	40924
555	সূত্রে	40878
556	পরবর্তী	40805
557	পদে	40712
558	স্থানে	40660
559	বিশ্বাস	40559
560	জীবন	40547
561	পরিকল্পনা	40443
562	নির্বাচনের	40391
563	বিশ্বের	40376
564	সেপ্টেম্বর	40324
565	এত	40226
566	সভায়	40152
567	সংসদ	40022
568	কয়েকজন	39936
569	রাখতে	39915
570	স্থান	39818
571	আসা	39804
572	যাতে	39738
573	দলে	39620
574	নির্দেশ	39554
575	ওসি	39444
576	উচিত	39410
577	থাকেন	39377
578	হার	39320
579	র	39281
580	পাকিস্তানের	38976
581	ভাগ	38976
582	খেলা	38964
583	শহর	38843
584	করতেন	38823
585	দাম	38782
586	সময়ের	38736
587	পক্ষ	38715
588	বাজার	38638
589	সম্মেলনে	38601
590	তারিখে	38568
591	মৃত্যু	38553
592	পশ্চিম	38548
593	বাস	38518
594	রাজধানীর	38489
595	পরিবার	38484
596	মুক্তি	38436
597	সাংসদ	38390
598	হতো	38385
599	পথে	38364
600	খেলার	38212
601	মহিলা	38158
602	মেয়র	38138
603	আবেদন	38120
604	গোল	38017
605	অন্তর্ভুক্ত	38014
606	কলেজের	37932
607	দিনে	37914
608	কিলোমিটার	37894
609	ছেড়ে	37782
610	বছরে	37660
611	নেয়	37537
612	রকম	37531
613	আসেন	37525
614	হওয়ায়	37460
615	বাজারে	37416
616	টাকার	37351
617	বিকেলে	37346
618	নিরাপত্তা	37301
